row_id,text,gender,duration_sec,selected,exclusion_reason,filename,baseline_tokens,clustered_tokens,split
0,त्यांना एक सुंदर स्त्री राजवाड्यातून बाहेर पडतांना दिसली.,0,4.876,1,,marathi_female_000000.wav,t a y a aa q n a aa <wb> ee k a <wb> s a u q d a r a <wb> s a t a r a ii <wb> r aa j a w aa dx y aa t uu n a <wb> b a aa h a ee r a <wb> p a dx a t a aa q n a aa <wb> d a i s a l a ii,C32 C0 C38 C0 C1 C23 C24 C0 C1 <wb> C11 C19 C0 <wb> C30 C0 C36 C23 C7 C0 C29 C0 <wb> C30 C0 C32 C0 C29 C0 C16 <wb> C29 C1 C17 C0 C37 C1 C9 C38 C1 C32 C36 C24 C0 <wb> C3 C0 C1 C15 C0 C11 C29 C0 <wb> C28 C0 C9 C0 C32 C0 C1 C23 C24 C0 C1 <wb> C7 C0 C16 C30 C0 C21 C0 C16,train
1,"राजाने आश्चर्यचकित होऊन त्या स्त्रीला हात जोडून नम्रपणे विचारले, आपण कोण आहात.",0,9.173,0,not_selected_by_random,,,,
2,"त्यावर त्या स्त्रीने सांगितले, मी लक्ष्मी आहे, आता या राजवाड्यातून मी जात आहे.",0,9.311,0,not_selected_by_random,,,,
3,"तेव्हा राजाने तिला सांगितले, तू जाऊ शकतेस.",0,5.168,0,not_selected_by_random,,,,
4,"लक्ष्मी बाहेर पडली, नंतर लक्ष्मीच्या पाठोपाठ एका सुंदर पुरुषाला राजवाड्याबाहेर पडतांना पाहून राजाने त्यालाही विचारले.",0,13.424,0,not_selected_by_random,,,,
5,"त्याने उत्तर दिले, माझे नाव दान आहे.",0,4.945,0,not_selected_by_random,,,,
6,लक्ष्मी बाहेर गेल्यानंतर आपण दान करू शकणार नाही; म्हणून मीही तिच्यासह जात आहे.,0,9.141,0,not_selected_by_random,,,,
7,राजाने सांगितले आपणसुद्धा राजवाडा सोडून जाऊ शकता.,0,6.489,0,not_selected_by_random,,,,
8,त्यानंतर त्याच्या पाठोपाठ तिसरा पुरुष यश निघून गेला.,0,6.177,1,,marathi_female_000008.wav,t a y a aa n a q t a r a <wb> t a y a aa c a y a aa <wb> p a aa txh a o p a aa txh a <wb> t a i s a r a aa <wb> p a u r a u sx a <wb> y a sh a <wb> n a i gh a uu n a <wb> g a ee l a aa,C32 C0 C38 C0 C1 C24 C0 C23 C32 C0 C29 C0 <wb> C32 C0 C38 C0 C1 C5 C0 C38 C0 C1 <wb> C28 C0 C1 C35 C0 C26 C28 C0 C1 C35 C0 <wb> C32 C0 C16 C30 C0 C29 C0 C1 <wb> C28 C0 C36 C29 C0 C36 C31 C0 <wb> C38 C0 C31 C0 <wb> C24 C0 C16 C14 C0 C36 C24 C0 <wb> C13 C0 C11 C21 C0 C1,train
9,त्यानंतर चौथा पुरुष प्रकट झाला अन् बाहेर पडू लागला.,0,6.676,0,not_selected_by_random,,,,
