row_id,text,gender,duration_sec,selected,exclusion_reason,filename,baseline_tokens,clustered_tokens,split
47,"તેમનાં લૂગડાંનો શીતળ સ્પર્શ, તથા કંપવાને કારણે સતત ધ્રૂજ્યા કરતી બાપુની આંગળીઓમાંથી, અમારા પર, છલકાતા વહાલના છાંટા, હજી એ એજ ઘરમાં, ક્યાંક પડ્યા હશે.",0,18.088,1,,gujarati_female_000047.wav,t a ee m a n a aa q <wb> l a uu g a dx a aa q n a o <wb> sh a ii t a lx a <wb> s a p a r a sh a <wb> t a th a aa <wb> k a q p a w a aa n a ee <wb> k a aa r a nx a ee <wb> s a t a t a <wb> dh a r a uu j a y a aa <wb> k a r a t a ii <wb> b a aa p a u n a ii <wb> aa q g a lx a ii o m a aa q th a ii <wb> a m a aa r a aa <wb> p a r a <wb> ch a l a k a aa t a aa <wb> w a h a aa l a n a aa <wb> ch a aa q tx a aa <wb> h a j a ii <wb> ee <wb> ee j a <wb> gh a r a m a aa q <wb> k a y a aa q k a <wb> p a dx a y a aa <wb> h a sh a ee,C32 C0 C11 C22 C0 C24 C0 C1 C23 <wb> C21 C0 C36 C13 C0 C9 C0 C1 C23 C24 C0 C26 <wb> C31 C0 C16 C32 C0 C21 C0 <wb> C30 C0 C28 C0 C29 C0 C31 C0 <wb> C32 C0 C33 C0 C1 <wb> C19 C0 C23 C28 C0 C37 C0 C1 C24 C0 C11 <wb> C19 C0 C1 C29 C0 C25 C0 C11 <wb> C30 C0 C32 C0 C32 C0 <wb> C8 C0 C29 C0 C36 C17 C0 C38 C0 C1 <wb> C19 C0 C29 C0 C32 C0 C16 <wb> C3 C0 C1 C28 C0 C36 C24 C0 C16 <wb> C1 C23 C13 C0 C21 C0 C16 C26 C22 C0 C1 C23 C33 C0 C16 <wb> C0 C22 C0 C1 C29 C0 C1 <wb> C28 C0 C29 C0 <wb> C6 C0 C21 C0 C19 C0 C1 C32 C0 C1 <wb> C37 C0 C15 C0 C1 C21 C0 C24 C0 C1 <wb> C6 C0 C1 C23 C34 C0 C1 <wb> C15 C0 C17 C0 C16 <wb> C11 <wb> C11 C17 C0 <wb> C14 C0 C29 C0 C22 C0 C1 C23 <wb> C19 C0 C38 C0 C1 C23 C19 C0 <wb> C28 C0 C9 C0 C38 C0 C1 <wb> C15 C0 C31 C0 C11,train
49,"ઇન્ડિયન જુનિયર અને, કેડેટ ઓપન ટેબલ ટેનિસ ટોર્નામેન્ટમાં, હરમીત દેસાઇના, વિજયી દેખાવને સહારે, ઈન્ડિયા એ, ટીમે શ્રીલંકાને, પ્રથમ રાઉન્ડમાં, ત્રણ શૂન્ય થી, કચડી નાંખ્યું હતુ.",0,19.884,0,not_selected_by_random,,,,
55,"સાથે સાથે, આપણે એ પણ જાણવું રહ્યું, કે હાલમાં, દિલ્હીથી પકડાઍલા, આતંકવાદી સૈયદ ઝબિઉદ્દીનની ધરપકડને પગલે, ઘણાં રહસ્યો પરથી પડદો ઊઠી શકે એમ છે.",0,18.368,0,not_selected_by_random,,,,
56,"સુપ્રીમ કોર્ટે વિચારણા હેઠળ રહેલા કેસના રિપોર્ટિંગના સંદર્ભે, ચર્ચાનો દાયરો, વધારતાં હવે, અપરાધ, સેક્સ, અને હિંસા સાથે, સંકળાએલા કેસોનો, પણ સમાવેશ કર્યો છે.",0,19.718,0,not_selected_by_random,,,,
67,"આજે જ્યારે, દુનિયામાં ર્કોપોરેટ સેક્ટર દ્વારા, પર્યાવરણ, અને, કુદરતી સંપત્તિને, નુકસાન પહોંચાડવાના કેસમાં, તેમની જવાબદારી, નક્કી કરવાની, માગ તેજ થઈ રહી છે.",0,19.216,0,not_selected_by_random,,,,
76,"આધારભૂત સૂત્રોના જણાવ્યા અનુસાર, બીસીએ દ્વારા, બનાવવામાં આવનાર, સ્ટેડિયમને, ક્રિકેટ નગરની ઓળખ, એટલા માટે, કે એક નગરની જેમ, સઘળી સુવિધાઓથી સજ્જ હશે.",0,19.519,0,not_selected_by_random,,,,
85,"એક ખાતે સેઝીયમ નામનો, રેડિયોએક્ટવ પદાર્થ મળી આવ્યો છે, જો કે, અધિકારીઓના મતે, સેઝીયમની ઉપસ્થિતિને કારણે, રેડીએશન થયું, હોવાનું કહી શકાય નહિ.",0,19.43,0,not_selected_by_random,,,,
90,"આ વિજય દ્વારા, ભારતે ઓસ્ટ્રેલિયાને, સતત સોળ મેચો જીતવાનો, ચાલી રહેલો, ઉપક્રમ તોડયો હતો, અને, ભારતની ટીમને, ગુમાવી દીધેલો, આત્મવિશ્વાસ, પાછો અપાવ્યો હતો.",0,18.437,1,,gujarati_female_000090.wav,aa <wb> w a i j a y a <wb> d a w a aa r a aa <wb> bh a aa r a t a ee <wb> o s a tx a r a ee l a i y a aa n a ee <wb> s a t a t a <wb> s a o lx a <wb> m a ee c a o <wb> j a ii t a w a aa n a o <wb> c a aa l a ii <wb> r a h a ee l a o <wb> u p a k a r a m a <wb> t a o dx a y a o <wb> h a t a o <wb> a n a ee <wb> bh a aa r a t a n a ii <wb> tx a ii m a n a ee <wb> g a u m a aa w a ii <wb> d a ii dh a ee l a o <wb> aa t a m a w a i sh a w a aa s a <wb> p a aa ch a o <wb> a p a aa w a y a o <wb> h a t a o,C1 <wb> C37 C0 C16 C17 C0 C38 C0 <wb> C7 C0 C37 C0 C1 C29 C0 C1 <wb> C4 C0 C1 C29 C0 C32 C0 C11 <wb> C26 C30 C0 C34 C0 C29 C0 C11 C21 C0 C16 C38 C0 C1 C24 C0 C11 <wb> C30 C0 C32 C0 C32 C0 <wb> C30 C0 C26 C21 C0 <wb> C22 C0 C11 C5 C0 C26 <wb> C17 C0 C16 C32 C0 C37 C0 C1 C24 C0 C26 <wb> C5 C0 C1 C21 C0 C16 <wb> C29 C0 C15 C0 C11 C21 C0 C26 <wb> C36 C28 C0 C19 C0 C29 C0 C22 C0 <wb> C32 C0 C26 C9 C0 C38 C0 C26 <wb> C15 C0 C32 C0 C26 <wb> C0 C24 C0 C11 <wb> C4 C0 C1 C29 C0 C32 C0 C24 C0 C16 <wb> C34 C0 C16 C22 C0 C24 C0 C11 <wb> C13 C0 C36 C22 C0 C1 C37 C0 C16 <wb> C7 C0 C16 C8 C0 C11 C21 C0 C26 <wb> C1 C32 C0 C22 C0 C37 C0 C16 C31 C0 C37 C0 C1 C30 C0 <wb> C28 C0 C1 C6 C0 C26 <wb> C0 C28 C0 C1 C37 C0 C38 C0 C26 <wb> C15 C0 C32 C0 C26,train
92,"શહેરના કેટલાંક સમૃદ્ધ મહાનૂભાવોએ, એક દિવસ માટે, પોતાની લક્ઝૂરિયસ એવા ગરીબોને ફરવા માટે આપી, જેમણે, તેમના જીવનમાં મજૂરી કરીને ક્યારેય પોતાનું શહેર પણ જોયું નથી.",0,19.907,0,not_selected_by_random,,,,
98,"માઇનસ ડિગ્રી તાપમાન, પહાડો અને નદીઓને ઓળંગીને, પદયાત્રા કરવી પડે છે, વર્ષમાં બે વાર યાત્રા કરવા છતાં પણ, રજનીકાન્તભાઈનું સ્વાસ્થ્ય, યુવાન વ્યક્તિ જેવું છે.",0,19.769,0,not_selected_by_random,,,,
