filename,language,condition,auto_mos,text,phonemes,output_phonemes
hi\baseline_01.wav,hi,baseline,4.8,भारत एक महान देश है,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei
hi\baseline_02.wav,hi,baseline,4.8,आज मौसम बहुत अच्छा है,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei
hi\baseline_03.wav,hi,baseline,4.8,मुझे हिंदी बोलना पसंद है,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei
hi\baseline_04.wav,hi,baseline,4.8,कृपया यहाँ बैठिए,k a rq p a y a aa y a h a aa mq b a ei txh a i ee,k a rq p a y a aa y a h a aa mq b a ei txh a i ee
hi\baseline_05.wav,hi,baseline,4.8,यह किताब बहुत रोचक है,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei
hi\baseline_06.wav,hi,baseline,4.8,सूरज पूरब से उगता है,s a uu r a j a p a uu r a b a s a ee u g a t a aa h a ei,s a uu r a j a p a uu r a b a s a ee u g a t a aa h a ei
hi\baseline_07.wav,hi,baseline,4.8,बच्चे पार्क में खेल रहे हैं,b a c a c a ee p a aa r a k a m a ee q kh a ee l a r a h a ee h a ei q,b a c a c a ee p a aa r a k a m a ee q kh a ee l a r a h a ee h a ei q
hi\baseline_08.wav,hi,baseline,4.8,नमस्ते आप कैसे हैं,n a m a s a t a ee aa p a k a ei s a ee h a ei q,n a m a s a t a ee aa p a k a ei s a ee h a ei q
hi\baseline_09.wav,hi,baseline,4.8,मेरा नाम कुश है,m a ee r a aa n a aa m a k a u sh a h a ei,m a ee r a aa n a aa m a k a u sh a h a ei
hi\baseline_10.wav,hi,baseline,4.8,हम सब मिलकर काम करेंगे,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee q g a ee,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee q g a ee
hi\baseline_11.wav,hi,baseline,4.8,विज्ञान और प्रौद्योगिकी,w a i j a nj a aa n a ou r a p a r a ou d a y a o g a i k a ii,w a i j a nj a aa n a ou r a p a r a ou d a y a o g a i k a ii
hi\baseline_12.wav,hi,baseline,4.5,शिक्षा सबसे बड़ा हथियार है,sh a i k a sx a aa s a b a s a ee b a dxq a aa h a th a i y a aa r a h a ei,sh a i k a sx a aa s a b a s a ee b a dxq a aa h a th a i y a aa r a h a ei
hi\clustered_01.wav,hi,clustered,4.8,भारत एक महान देश है,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ae
hi\clustered_02.wav,hi,clustered,4.8,आज मौसम बहुत अच्छा है,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ae
hi\clustered_03.wav,hi,clustered,4.8,मुझे हिंदी बोलना पसंद है,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei,m a u jh a ee h a i mq d a i b a o l a n a aa p a s a mq d a h a ae
hi\clustered_04.wav,hi,clustered,4.8,कृपया यहाँ बैठिए,k a rq p a y a aa y a h a aa mq b a ei txh a i ee,k a r p a y a aa y a h a aa mq b a ae txh a i ee
hi\clustered_05.wav,hi,clustered,4.8,यह किताब बहुत रोचक है,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ae
