row_id,text,gender,duration_sec,selected,exclusion_reason,filename,baseline_tokens,clustered_tokens,split
4505,"प्रसिद्द कबीर अध्येता, पुरुषोत्तम अग्रवाल का यह शोध आलेख, उस रामानंद की खोज करता है",1,6.961,0,not_selected_by_random,,,,
4507,"उस पर, इन चार कवियों का गहरा असर है",1,3.436,0,not_selected_by_random,,,,
4508,"इसे कई बार, मंचित भी किया गया है",1,2.368,1,,hindi_female_004508.wav,i s a ee <wb> k a ii <wb> b a aa r a <wb> m a q c a i t a <wb> bh a ii <wb> k a i y a aa <wb> g a y a aa <wb> h a ei,C16 C30 C0 C11 <wb> C19 C0 C16 <wb> C3 C0 C1 C29 C0 <wb> C22 C0 C23 C5 C0 C16 C32 C0 <wb> C4 C0 C16 <wb> C19 C0 C16 C38 C0 C1 <wb> C13 C0 C38 C0 C1 <wb> C15 C0 C2,train
4509,"यहाँ प्रस्तुत है, हिन्दी कवि कथाकार, तेजी ग्रोवर के अंग्रेज़ी के मार्फ़त किए गए अनुवाद के कुछ अंश",1,7.662,0,not_selected_by_random,,,,
4511,"दूसरी तरफ़, साक्षात्कार में वे, सुंदर के विरूद्ध, अपनी रणनीति के बारे में बात करते हैं",1,7.056,0,not_selected_by_random,,,,
4512,"उस्ताद बिस्मिल्लाह खान, भारतीय संगीत ही नहीं, समूचे कला संसार में, एक विलक्षण उपस्थिति रहे",1,7.5,1,,hindi_female_004512.wav,u s a t a aa d a <wb> b a i s a m a i l a l a aa h a <wb> kh a aa n a <wb> bh a aa r a t a ii y a <wb> s a q g a ii t a <wb> h a ii <wb> n a h a ii q <wb> s a m a uu c a ee <wb> k a l a aa <wb> s a q s a aa r a <wb> m a ee q <wb> ee k a <wb> w a i l a k a sx a nx a <wb> u p a s a th a i t a i <wb> r a h a ee,C36 C30 C0 C32 C0 C1 C7 C0 <wb> C3 C0 C16 C30 C0 C22 C0 C16 C21 C0 C21 C0 C1 C15 C0 <wb> C20 C0 C1 C24 C0 <wb> C4 C0 C1 C29 C0 C32 C0 C16 C38 C0 <wb> C30 C0 C23 C13 C0 C16 C32 C0 <wb> C15 C0 C16 <wb> C24 C0 C15 C0 C16 C23 <wb> C30 C0 C22 C0 C36 C5 C0 C11 <wb> C19 C0 C21 C0 C1 <wb> C30 C0 C23 C30 C0 C1 C29 C0 <wb> C22 C0 C11 C23 <wb> C11 C19 C0 <wb> C37 C0 C16 C21 C0 C19 C0 C31 C0 C25 C0 <wb> C36 C28 C0 C30 C0 C33 C0 C16 C32 C0 C16 <wb> C29 C0 C15 C0 C11,train
4513,"अपने व्यक्तित्व, और वाद, दोनों से वे, शास्त्रीय संगीत में, एक नए टाईप थे",1,6.65,0,not_selected_by_random,,,,
4515,"यतीन्द्र मिश्र का, सुर की बारादरी, इस नाम से, पेंग्विन यात्रा से शीघ्र प्रकाश्य पुस्तक से लिया गया है, जो उनकी कला, स्थानीय परम्परा, उनके व्यक्तित्व को एक साथ पढ़ती है",1,13.877,0,not_selected_by_random,,,,
4516,"उस्ताद को, ट्रिब्यूट की तरह, लिखा गया, व्योमेश शुक्ल का गद्य, उनकी कला को, सांस्कृतिक राजनीति के, प्रतिरोध के, संकेतों की तरह देखता है",1,11.842,1,,hindi_female_004516.wav,u s a t a aa d a <wb> k a o <wb> tx a r a i b a y a uu tx a <wb> k a ii <wb> t a r a h a <wb> l a i kh a aa <wb> g a y a aa <wb> w a y a o m a ee sh a <wb> sh a u k a l a <wb> k a aa <wb> g a d a y a <wb> u n a k a ii <wb> k a l a aa <wb> k a o <wb> s a aa q s a k a rq t a i k a <wb> r a aa j a n a ii t a i <wb> k a ee <wb> p a r a t a i r a o dh a <wb> k a ee <wb> s a q k a ee t a o q <wb> k a ii <wb> t a r a h a <wb> d a ee kh a t a aa <wb> h a ei,C36 C30 C0 C32 C0 C1 C7 C0 <wb> C19 C0 C26 <wb> C34 C0 C29 C0 C16 C3 C0 C38 C0 C36 C34 C0 <wb> C19 C0 C16 <wb> C32 C0 C29 C0 C15 C0 <wb> C21 C0 C16 C20 C0 C1 <wb> C13 C0 C38 C0 C1 <wb> C37 C0 C38 C0 C26 C22 C0 C11 C31 C0 <wb> C31 C0 C36 C19 C0 C21 C0 <wb> C19 C0 C1 <wb> C13 C0 C7 C0 C38 C0 <wb> C36 C24 C0 C19 C0 C16 <wb> C19 C0 C21 C0 C1 <wb> C19 C0 C26 <wb> C30 C0 C1 C23 C30 C0 C19 C0 C29 C32 C0 C16 C19 C0 <wb> C29 C0 C1 C17 C0 C24 C0 C16 C32 C0 C16 <wb> C19 C0 C11 <wb> C28 C0 C29 C0 C32 C0 C16 C29 C0 C26 C8 C0 <wb> C19 C0 C11 <wb> C30 C0 C23 C19 C0 C11 C32 C0 C26 C23 <wb> C19 C0 C16 <wb> C32 C0 C29 C0 C15 C0 <wb> C7 C0 C11 C20 C0 C32 C0 C1 <wb> C15 C0 C2,train
4517,"इस अंक से हम, एक नया खंड उन कला रूपों पर आरंभ कर रहे हैं, जिन्हें लोक प्रिय, या पॉपुलर कहा जाता है",1,7.802,1,,hindi_female_004517.wav,i s a <wb> a q k a <wb> s a ee <wb> h a m a <wb> ee k a <wb> n a y a aa <wb> kh a q dx a <wb> u n a <wb> k a l a aa <wb> r a uu p a o q <wb> p a r a <wb> aa r a q bh a <wb> k a r a <wb> r a h a ee <wb> h a ei q <wb> j a i n a h a ee q <wb> l a o k a <wb> p a r a i y a <wb> y a aa <wb> p a p a u l a r a <wb> k a h a aa <wb> j a aa t a aa <wb> h a ei,C16 C30 C0 <wb> C0 C23 C19 C0 <wb> C30 C0 C11 <wb> C15 C0 C22 C0 <wb> C11 C19 C0 <wb> C24 C0 C38 C0 C1 <wb> C20 C0 C23 C9 C0 <wb> C36 C24 C0 <wb> C19 C0 C21 C0 C1 <wb> C29 C0 C36 C28 C0 C26 C23 <wb> C28 C0 C29 C0 <wb> C1 C29 C0 C23 C4 C0 <wb> C19 C0 C29 C0 <wb> C29 C0 C15 C0 C11 <wb> C15 C0 C2 C23 <wb> C17 C0 C16 C24 C0 C15 C0 C11 C23 <wb> C21 C0 C26 C19 C0 <wb> C28 C0 C29 C0 C16 C38 C0 <wb> C38 C0 C1 <wb> C28 C0 C28 C0 C36 C21 C0 C29 C0 <wb> C19 C0 C15 C0 C1 <wb> C17 C0 C1 C32 C0 C1 <wb> C15 C0 C2,train
