language,condition,sentence_id,filename,text,phonemes,output_phonemes,unknown_words
hi,baseline,1,hi\baseline_01.wav,भारत एक महान देश है,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei,
hi,baseline,2,hi\baseline_02.wav,आज मौसम बहुत अच्छा है,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei,
hi,baseline,3,hi\baseline_03.wav,मुझे हिंदी बोलना पसंद है,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei,
hi,baseline,4,hi\baseline_04.wav,कृपया यहाँ बैठिए,k a rq p a y a aa y a h a aa mq b a ei txh a i ee,k a rq p a y a aa y a h a aa mq b a ei txh a i ee,
hi,baseline,5,hi\baseline_05.wav,यह किताब बहुत रोचक है,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei,
hi,baseline,6,hi\baseline_06.wav,सूरज पूरब से उगता है,s a uu r a j a p a uu r a b a s a ee u g a t a aa h a ei,s a uu r a j a p a uu r a b a s a ee u g a t a aa h a ei,
hi,baseline,7,hi\baseline_07.wav,बच्चे पार्क में खेल रहे हैं,b a c a c a ee p a aa r a k a m a ee q kh a ee l a r a h a ee h a ei q,b a c a c a ee p a aa r a k a m a ee q kh a ee l a r a h a ee h a ei q,
hi,baseline,8,hi\baseline_08.wav,नमस्ते आप कैसे हैं,n a m a s a t a ee aa p a k a ei s a ee h a ei q,n a m a s a t a ee aa p a k a ei s a ee h a ei q,
hi,baseline,9,hi\baseline_09.wav,मेरा नाम कुश है,m a ee r a aa n a aa m a k a u sh a h a ei,m a ee r a aa n a aa m a k a u sh a h a ei,
hi,baseline,10,hi\baseline_10.wav,हम सब मिलकर काम करेंगे,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee q g a ee,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee q g a ee,
hi,baseline,11,hi\baseline_11.wav,विज्ञान और प्रौद्योगिकी,w a i j a nj a aa n a ou r a p a r a ou d a y a o g a i k a ii,w a i j a nj a aa n a ou r a p a r a ou d a y a o g a i k a ii,
hi,baseline,12,hi\baseline_12.wav,शिक्षा सबसे बड़ा हथियार है,sh a i k a sx a aa s a b a s a ee b a dxq a aa h a th a i y a aa r a h a ei,sh a i k a sx a aa s a b a s a ee b a dxq a aa h a th a i y a aa r a h a ei,
hi,clustered,1,hi\clustered_01.wav,भारत एक महान देश है,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ei,bh a aa r a t a ee k a m a h a aa n a d a ee sh a h a ae,
hi,clustered,2,hi\clustered_02.wav,आज मौसम बहुत अच्छा है,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ei,aa j a m a ou s a m a b a h a u t a a c a ch a aa h a ae,
hi,clustered,3,hi\clustered_03.wav,मुझे हिंदी बोलना पसंद है,m a u jh a ee h a i q d a ii b a o l a n a aa p a s a q d a h a ei,m a u jh a ee h a i mq d a i b a o l a n a aa p a s a mq d a h a ae,
hi,clustered,4,hi\clustered_04.wav,कृपया यहाँ बैठिए,k a rq p a y a aa y a h a aa mq b a ei txh a i ee,k a r p a y a aa y a h a aa mq b a ae txh a i ee,
hi,clustered,5,hi\clustered_05.wav,यह किताब बहुत रोचक है,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ei,y a h a k a i t a aa b a b a h a u t a r a o c a k a h a ae,
hi,clustered,6,hi\clustered_06.wav,सूरज पूरब से उगता है,s a uu r a j a p a uu r a b a s a ee u g a t a aa h a ei,s a u r a j a p a u r a b a s a ee u g a t a aa h a ae,
hi,clustered,7,hi\clustered_07.wav,बच्चे पार्क में खेल रहे हैं,b a c a c a ee p a aa r a k a m a ee q kh a ee l a r a h a ee h a ei q,b a c a c a ee p a aa r a k a m a ee mq kh a ee l a r a h a ee h a ae mq,
hi,clustered,8,hi\clustered_08.wav,नमस्ते आप कैसे हैं,n a m a s a t a ee aa p a k a ei s a ee h a ei q,n a m a s a t a ee aa p a k a ae s a ee h a ae mq,
hi,clustered,9,hi\clustered_09.wav,मेरा नाम कुश है,m a ee r a aa n a aa m a k a u sh a h a ei,m a ee r a aa n a aa m a k a u sh a h a ae,
hi,clustered,10,hi\clustered_10.wav,हम सब मिलकर काम करेंगे,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee q g a ee,h a m a s a b a m a i l a k a r a k a aa m a k a r a ee mq g a ee,
hi,clustered,11,hi\clustered_11.wav,विज्ञान और प्रौद्योगिकी,w a i j a nj a aa n a ou r a p a r a ou d a y a o g a i k a ii,w a i j a n a aa n a ou r a p a r a ou d a y a o g a i k a i,
hi,clustered,12,hi\clustered_12.wav,शिक्षा सबसे बड़ा हथियार है,sh a i k a sx a aa s a b a s a ee b a dxq a aa h a th a i y a aa r a h a ei,sh a i k a sh a aa s a b a s a ee b a dx a aa h a th a i y a aa r a h a ae,
gu,baseline,1,gu\baseline_01.wav,ભારત એક મહાન દેશ છે,bh a aa r a t a ee k a m a h a aa n a d a ee sh a ch a ee,bh a aa r a t a ee k a m a h a aa n a d a ee sh a ch a ee,
gu,baseline,2,gu\baseline_02.wav,આજે હવામાન ખૂબ સારું છે,aa j a ee h a w a aa m a aa n a kh a uu b a s a aa r a u q ch a ee,aa j a ee h a w a aa m a aa n a kh a uu b a s a aa r a u q ch a ee,
gu,baseline,3,gu\baseline_03.wav,મને ગુજરાતી બોલવાનું ગમે છે,m a n a ee g a u j a r a aa t a ii બ ો લ વ ા ન ુ ં g a m a ee ch a ee,m a n a ee g a u j a r a aa t a ii બ ો લ વ ા ન ુ ં g a m a ee ch a ee,બોલવાનું
gu,baseline,4,gu\baseline_04.wav,કૃપા કરીને અહીં બેસો,k a p a aa k a r a ii n a ee a h a ii q બ ે સ ો,k a p a aa k a r a ii n a ee a h a ii q બ ે સ ો,બેસો
gu,baseline,5,gu\baseline_05.wav,આ પુસ્તક ખૂબ રસપ્રદ છે,આ p a u s a t a k a kh a uu b a r a s a p a r a d a ch a ee,આ p a u s a t a k a kh a uu b a r a s a p a r a d a ch a ee,આ
gu,baseline,6,gu\baseline_06.wav,સૂરજ પૂર્વમાંથી ઉગે છે,સ ૂ ર જ પ ૂ ર ્ વ મ ા ં થ ી ઉ ગ ે ch a ee,સ ૂ ર જ પ ૂ ર ્ વ મ ા ં થ ી ઉ ગ ે ch a ee,સૂરજ|પૂર્વમાંથી|ઉગે
gu,baseline,7,gu\baseline_07.wav,બાળકો બગીચામાં રમી રહ્યા છે,b a aa lx a k a o b a g a ii c a aa m a aa q r a m a ii r a h a y a aa ch a ee,b a aa lx a k a o b a g a ii c a aa m a aa q r a m a ii r a h a y a aa ch a ee,
gu,baseline,8,gu\baseline_08.wav,નમસ્તે તમે કેમ છો,ન મ સ ્ ત ે t a m a ee k a ee m a ch a o,ન મ સ ્ ત ે t a m a ee k a ee m a ch a o,નમસ્તે
gu,baseline,9,gu\baseline_09.wav,મારું નામ કુશ છે,m a aa r a u q n a aa m a ક ુ શ ch a ee,m a aa r a u q n a aa m a ક ુ શ ch a ee,કુશ
gu,baseline,10,gu\baseline_10.wav,અમે બધા સાથે મળીને કામ કરીશું,a m a ee b a dh a aa s a aa th a ee m a lx a ii n a ee k a aa m a k a r a ii sh a u q,a m a ee b a dh a aa s a aa th a ee m a lx a ii n a ee k a aa m a k a r a ii sh a u q,
gu,clustered,1,gu\clustered_01.wav,ભારત એક મહાન દેશ છે,bh a aa r a t a ee k a m a h a aa n a d a ee sh a ch a ee,bh a aa r a t a ee k a m a h a aa n a d a ee sh a ch a ee,
gu,clustered,2,gu\clustered_02.wav,આજે હવામાન ખૂબ સારું છે,aa j a ee h a w a aa m a aa n a kh a uu b a s a aa r a u q ch a ee,aa j a ee h a w a aa m a aa n a kh a u b a s a aa r a u mq ch a ee,
gu,clustered,3,gu\clustered_03.wav,મને ગુજરાતી બોલવાનું ગમે છે,m a n a ee g a u j a r a aa t a ii બ ો લ વ ા ન ુ ં g a m a ee ch a ee,m a n a ee g a u j a r a aa t a i બ ો લ વ ા ન ુ ં g a m a ee ch a ee,બોલવાનું
gu,clustered,4,gu\clustered_04.wav,કૃપા કરીને અહીં બેસો,k a p a aa k a r a ii n a ee a h a ii q બ ે સ ો,k a p a aa k a r a i n a ee a h a i mq બ ે સ ો,બેસો
gu,clustered,5,gu\clustered_05.wav,આ પુસ્તક ખૂબ રસપ્રદ છે,આ p a u s a t a k a kh a uu b a r a s a p a r a d a ch a ee,આ p a u s a t a k a kh a u b a r a s a p a r a d a ch a ee,આ
gu,clustered,6,gu\clustered_06.wav,સૂરજ પૂર્વમાંથી ઉગે છે,સ ૂ ર જ પ ૂ ર ્ વ મ ા ં થ ી ઉ ગ ે ch a ee,સ ૂ ર જ પ ૂ ર ્ વ મ ા ં થ ી ઉ ગ ે ch a ee,સૂરજ|પૂર્વમાંથી|ઉગે
gu,clustered,7,gu\clustered_07.wav,બાળકો બગીચામાં રમી રહ્યા છે,b a aa lx a k a o b a g a ii c a aa m a aa q r a m a ii r a h a y a aa ch a ee,b a aa l a k a o b a g a i c a aa m a aa mq r a m a i r a h a y a aa ch a ee,
gu,clustered,8,gu\clustered_08.wav,નમસ્તે તમે કેમ છો,ન મ સ ્ ત ે t a m a ee k a ee m a ch a o,ન મ સ ્ ત ે t a m a ee k a ee m a ch a o,નમસ્તે
gu,clustered,9,gu\clustered_09.wav,મારું નામ કુશ છે,m a aa r a u q n a aa m a ક ુ શ ch a ee,m a aa r a u mq n a aa m a ક ુ શ ch a ee,કુશ
